primary,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,usersrated,AveRating,stddev,usersweighted,AveWeight,Board Game Rank,Strategy Game Rank,Family Game Rank
Mein erster Spieleschatz,2010,1,6,5,5,5,3,111,6.8161,1.33251,5,1.4,8353,,
Streaming,2018,3,5,30,30,30,10,112,6.61188,1.09002,5,1.4,8998,,
Twilight Imperium: Armada,2001,2,6,45,45,45,12,111,6.7555,1.42976,12,2.75,9309,,
SLAPZI,2015,2,10,0,0,0,8,111,5.99322,1.42093,4,1,13142,,
Saloon,2001,3,6,30,30,30,10,111,4.95496,1.43563,14,1.0714,20863,,
Twin Peaks,2014,1,4,780,360,780,0,111,7.67117,1.21458,12,4.1667,6576,,
LEGO Racers Super Speedway Game,2001,2,4,30,30,30,5,111,4.61441,1.32147,16,1.1875,21256,,
Red Hot Silly Dragon,2005,2,5,30,30,30,10,111,5.67477,1.32253,16,1.375,16416,,
Patrol!: Man-to-Man Combat in the 20th Century,1974,1,3,240,240,240,12,111,6.29514,1.34209,16,3.3125,11062,,
Dive! Diver! Die!,2010,3,5,45,45,45,12,111,6.17027,1.44781,19,1.7895,11945,,
Campaign Trail: The Game of Presidential Elections,1983,2,6,60,60,60,12,111,6.57955,1.68888,16,1.75,9713,,
Monstertorte,1996,2,4,15,15,15,5,111,6.28766,1.22639,7,1,10610,,
Naruto Shippuden: The Board Game,2016,2,6,60,60,60,13,111,6.35102,1.69877,6,2.1667,11953,,
Wizard's Garden,2004,2,2,45,45,45,12,111,6.95135,1.29448,3,1.6667,8266,,
Bar-Lev: The Yom-Kippur War of 1973,1974,2,5,360,360,360,16,111,7.33604,1.37177,22,3.0455,7216,,
Undermine,2017,2,8,45,20,45,10,110,5.67217,1.51199,4,2,16980,,
Burp,1995,2,4,60,60,60,10,110,5.52273,1.51566,9,1.6667,17687,,
The Game of Life Adventure Edition,2011,2,6,45,45,45,6,109,4.97248,1.38603,6,1,20737,,
Replay Baseball,1973,1,2,30,30,30,8,110,8.01282,1.52956,13,2.4615,6606,,
Hof Gap: The Nurnberg Pincer,1980,2,2,120,120,120,12,110,7.08864,1.50514,10,3.6,8342,,
Wapi,2003,2,5,20,20,20,8,110,5.02182,1.63737,15,1.1333,20721,,
Justice League: Dawn of Heroes,2017,2,6,90,30,90,12,110,6.50281,2.08283,2,2,11232,,
Six,2008,2,5,6,6,6,8,110,5.52864,1.624,13,1,17716,,
Shadow of the Elder Gods,2015,1,4,20,20,20,13,110,5.53873,1.68634,7,2.1429,18202,,
Rory's Story Cubes: Mythic,2015,1,12,20,20,20,6,110,6.87273,1.38314,1,1,8415,,
Murus Gallicus,2009,2,2,20,20,20,10,110,7.13636,1.45469,12,2.9167,7698,,
Jokes de Papa,2017,2,12,40,20,40,16,110,4.93355,1.72018,5,1,20630,,
Dr. Beaker,2017,2,4,15,15,15,8,110,5.96236,1.32661,1,1,13612,,
Narnia Risk Junior,2006,2,4,90,90,90,8,110,5.50661,1.81732,19,2,19180,,
Warhammer Age of Sigmar: The Rise & Fall of Anvalor,2019,1,4,60,60,60,14,110,6.64955,1.72562,4,2.25,10153,,
Reef Route,2016,2,4,15,15,15,5,110,6.11864,1.11463,4,1.5,12009,,
Abracadabra,2004,2,6,30,30,30,8,109,5.32752,1.33003,13,1.5385,19484,,
Hot Potato,1988,2,6,10,10,10,4,110,4.33455,1.80214,5,1,21437,,
Grackles,2018,2,4,30,20,30,10,110,6.22564,1.44397,5,1.6,11929,,
Suppenkasper,1987,3,6,60,60,60,8,110,5.60909,1.38889,9,1.7778,17203,,
The Six Million Dollar Man,1975,2,4,45,45,45,7,109,4.41583,1.80364,6,1.5,21405,,
Greedy Kingdoms,2009,2,2,20,20,20,10,110,6.59136,1.36237,9,1.6667,9285,,
Budapest '45,1994,2,2,120,120,120,0,110,6.49455,1.44183,12,2.4167,10174,,
Star Wars: Attack of the Clones Card Game,2002,2,5,45,45,45,8,110,5.845,1.4696,15,1.2,14300,,2020
RatVille,2019,2,4,90,60,90,12,110,7.24109,1.24773,6,2.6667,7576,,
Scene It? Music,2005,2,12,30,30,30,13,110,5.671,1.67364,8,1.25,17640,,
Zipang Portable,2016,2,6,20,10,20,8,110,7.20409,1.81849,4,1.5,8319,,
Hamster Clan,2016,1,4,0,10,0,4,110,5.63436,1.56519,2,1,18316,,
Sixis,2008,2,4,15,15,15,0,110,6.23664,1.3953,7,1.4286,10897,,
Organized Crime,1974,2,4,180,180,180,14,110,5.73091,1.5935,8,2.375,16115,,
Sideshow: The Campaign for German East Africa 1914-1918,1990,2,2,360,360,360,12,110,6.235,1.84099,18,2.8333,11497,,
Glory,2019,2,4,90,90,90,10,110,7.67482,1.556,11,1.4545,9135,,
Chronicles of Avel,2021,1,4,90,60,90,8,114,8.49468,1.21235,9,1.6667,6153,,
World Series of Yahtzee,2012,2,4,20,20,20,8,109,6.09676,1.51622,5,1,12730,,
Gisborne: Die ersten Kartographen,2008,3,5,40,40,40,8,110,5.34636,1.27005,16,1.625,19370,,
"Road to Richmond: The Peninsular Campaign, May-July, 1862",1977,2,2,120,120,120,12,110,6.05091,1.40871,21,1.9524,13973,,
The Battle of Five Armies,1984,2,2,150,150,150,12,110,6.52364,1.38701,12,2.75,9494,,
Drôles de Zèbres,2004,2,2,23,23,23,9,110,6.30318,1.22286,6,1.5,10676,,
Millionenspiel,1982,3,5,45,45,45,10,110,5.78927,1.75834,12,1.1667,15641,,
Tàin,2007,2,4,30,30,30,8,110,5.34864,1.49773,11,1.7273,20244,,
Tesseract,2015,2,4,30,20,30,8,110,6.40846,1.35398,3,2,10647,,
Super Goal!,2017,2,2,15,10,15,6,110,6.47336,1.57997,4,1.25,10400,,
Grumpf,2017,2,6,15,15,15,8,110,5.85336,1.69372,5,1.2,15528,,
Police 07,1986,2,6,45,45,45,10,110,5.99609,1.47009,12,1.8333,13865,,
Lost Legacy: Binbo Tantei to Inbo no Shiro,2014,2,8,10,10,10,10,110,7.17809,1.34124,8,1.375,7331,,
Manno Monster,2013,2,4,25,25,25,8,110,6.35636,1.24583,8,1.625,10462,,1829
JENA!,1996,2,3,300,300,300,12,110,6.93091,1.57162,20,2.85,9076,,
Zombies vs Cheerleaders,2015,2,2,30,30,30,10,110,5.944,1.37126,6,1.5,13797,,
Sellswords: Olympus,2017,2,2,15,15,15,0,110,6.92123,1.28622,1,2,8008,,
Tori,2010,2,4,60,60,60,10,110,6.40136,1.27665,7,2.8571,9694,2110,1803
Dragon Ball Z CCG,2000,2,2,20,20,20,8,110,5.73818,1.81974,4,2,16897,,
Nonsense Classic,1993,3,8,20,20,20,8,110,6.06918,1.59303,5,1.2,12306,,
BattleTech: Battletroops,1989,2,2,90,90,90,10,110,6.15545,1.51942,13,3.0769,12996,,
Shinobi,2015,4,6,20,15,20,10,110,5.78012,1.66733,4,1.5,15371,,
Nanaki,2020,1,4,45,30,45,8,110,7.30409,1.40861,6,2,7984,,
Mister Diamond,1993,2,8,20,20,20,8,110,5.29864,1.69414,7,1,19319,,
Star Trek HeroClix: Tactics,2012,2,2,60,60,60,14,110,6.19591,1.98222,9,2.3333,12629,,
Scuba,2016,2,4,60,30,60,8,110,5.63682,1.85314,3,1.3333,16814,,
Coppertwaddle,2000,2,2,20,20,20,10,110,5.66455,1.73419,11,2,16767,,
Mine Shift,2011,2,4,20,20,20,8,110,5.84064,1.41615,5,1.2,15353,,
Manimals,2006,2,6,20,10,20,6,109,6.35872,1.1553,7,1.1429,10207,,
King Frog,2016,2,4,15,15,15,7,109,6.74037,1.01747,3,1,8560,,
Trivial Pursuit: Book Lover's Edition,2004,2,4,60,60,60,12,109,4.46752,1.8173,5,2.8,21322,,
Ferox,2015,2,2,90,60,90,18,109,7.78899,1.37805,7,2.1429,6490,,
"Take The ""A"" Chord",2015,2,4,30,30,30,10,109,6.13813,1.52486,3,2,11917,,
Trudvang Legends,2022,1,4,60,60,60,14,109,7.44508,3.54358,5,3,12300,,
Kahmaté,2008,2,2,30,30,30,10,110,6.29282,1.41037,11,1.9091,10461,,
Warriors of Japan: A Country Aflame 1335-1339,2016,1,2,150,150,150,10,109,6.79193,1.50707,7,2.2857,8427,,
¡Arre Unicornio!,2018,2,8,40,20,40,10,110,6.26691,1.58186,2,1.5,12708,,
Flee The Scene,2015,2,5,40,20,40,8,109,6.68752,1.0426,7,1.2857,8793,,
Lincoln's War,2013,1,4,180,180,180,0,109,6.35275,2.06881,18,3.1111,10409,,
Crash Pilot,1999,2,5,20,20,20,6,109,5.43945,1.34328,7,1.1429,18188,,
Rotundo,2005,2,5,20,20,20,9,109,5.56972,1.25797,16,1.4375,17721,,
Heresy,1995,2,5,90,90,90,12,108,5.75417,1.5789,10,3.2,15837,,
Weilong,2007,2,5,20,20,20,0,109,5.74725,1.79346,25,1.48,15844,,2050
Sneaky Cards,2015,1,0,0,15,0,12,109,6.20761,2.15898,1,1,12544,,
UNO H2O Splash,2005,2,10,30,30,30,7,109,5.85725,1.64588,6,1.5,15928,,
Circus Train,2010,1,2,55,55,55,10,109,6.92312,1.31385,14,2.7857,8020,2003,
Night of the Ninja,2021,4,11,30,15,30,12,113,7.19953,1.59819,3,1.6667,7741,,
Backpacks and Blisters,1993,1,6,45,30,45,10,109,6.19358,1.2062,11,2,11226,,
Midnight Taboo,2016,4,99,20,20,20,18,109,5.99214,1.44926,2,1,15993,,
Gravwell: 2nd Edition,2021,2,6,45,20,45,10,112,7.33437,1.06356,5,2,7191,,
For What Remains: Streets of Ruin,2020,1,2,45,30,45,10,109,8.13505,1.32442,12,2.5833,6157,,
UNO Dare!,2014,2,10,0,0,0,7,110,4.97455,1.59245,3,1,20632,,
Star Trek III,1985,1,1,60,60,60,12,109,6.07752,1.6961,14,2.2857,13554,,
UNO: Cars,2006,2,10,10,10,10,7,109,5.69147,1.53086,4,1.25,16140,,
Alchemy!,2014,2,8,45,45,45,13,109,5.71474,2.28095,5,2.4,19202,,
"'CA' Tactical Naval Warfare in the Pacific, 1941-45",1973,2,2,120,120,120,12,109,5.31193,1.88887,14,2.5714,20474,,
The African Campaign,1973,1,2,120,120,120,12,109,6.54771,1.37871,23,2.4783,10422,,
3D Tic Tac Toe,1953,2,2,1,1,1,6,109,4.18555,1.84383,9,1.2222,21464,,
Kodama Forest,2020,3,6,30,30,30,14,109,6.76064,1.43027,4,1.25,9095,,
Imaginiff: 10th Anniversary Edition,2008,3,8,35,35,35,12,109,6.03544,1.43109,4,1,13630,,
Lübeck,2009,3,5,30,30,30,8,109,5.27248,1.67244,9,1.7778,19701,,2156
War: Império Romano,2007,3,4,120,120,120,10,109,5.73367,1.62839,10,2.2,16619,,
Valknut,2020,2,4,15,10,15,14,109,7.45606,1.50388,6,1.1667,8146,,
Elefant Hunt,1984,2,5,20,20,20,10,109,6.20183,1.5682,7,1,11282,,
The Contender: The Game of Presidential Debate,2015,3,99,30,15,30,11,109,6.21009,1.95851,6,1.1667,13182,,
Switching Tracks,2015,2,5,60,60,60,10,109,6.51702,1.10885,11,2.3636,9367,,
Monopoly: The Nightmare Before Christmas,2009,2,6,90,90,90,8,109,5.94128,1.86051,5,2,16503,,
Honeycombs,2016,1,8,30,15,30,6,109,6.36229,1.34249,4,1.75,10975,,
Cluedo Card Game,1990,2,4,30,30,30,8,109,5.45321,1.63076,6,1.1667,19449,,
Battlespace: The Battletech Game of Space Combat,1993,2,6,360,360,360,12,109,6.12752,1.40176,11,2.9091,12697,,
Lie Detector,1960,2,4,60,60,60,8,108,5.8325,1.59489,13,1.3077,15086,,
Giro D'Italia Card Game,2009,2,6,30,30,30,14,109,5.84459,1.59069,14,1.4286,15087,2249,2029
Die Erbraffer,1994,2,6,90,90,90,12,109,5.39128,1.41072,5,1.6,19052,,
TonTon,2018,3,5,30,15,30,8,109,6.36098,1.5939,1,1,10985,,
DIG,2017,2,4,45,20,45,10,109,6.11917,1.74864,12,1.9167,13194,,
Sixteen Thirty Something,1995,3,6,180,180,180,12,109,6.14312,1.62359,16,2.5,11480,2174,
COBRA: The Normandy Campaign,2008,2,2,1200,600,1200,0,109,7.00459,1.36901,22,3.0909,8237,,
Ren Faire,2009,2,4,60,60,60,13,109,5.13394,2.02745,12,1.1667,20635,,
Chariots of Rome,2017,2,8,120,45,120,13,109,7.13183,1.44725,5,2.2,8154,,
Wembley,1952,3,8,60,60,60,12,109,6.10972,1.32824,4,1.25,12642,,
Maha Yodha,2014,2,2,20,20,20,12,109,6.21917,1.83023,8,2.125,12968,2207,
Master of Wills,2017,2,4,45,25,45,13,108,8.21735,1.62376,3,2,7907,,
Micro Dojo,2021,2,2,30,10,30,10,108,7.07094,1.1656,4,2,7939,,
Namiji,2022,2,5,45,30,45,8,108,6.5437,2.1762,5,2,9691,,
Emperor of China,1972,2,5,60,60,60,10,108,6.01759,1.45493,21,2.0476,13741,2238,
Noteability,1990,3,6,30,30,30,12,108,4.54546,1.47345,10,1.2,21297,,
Otto Game Over,2021,1,4,30,15,30,8,108,6.93167,1.7176,6,1.3333,9708,,
ColorFox,2016,2,4,15,15,15,6,108,6.29083,1.38709,6,1,11046,,
Gold Armada,2017,2,5,0,20,0,7,108,6.07508,1.50511,6,1.1667,13086,,1978
Star Trek Red Alert,2000,2,8,90,90,90,10,108,6.49074,1.57818,3,2.3333,10340,,
