primary,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,usersrated,AveRating,stddev,usersweighted,AveWeight,Board Game Rank,Strategy Game Rank,Family Game Rank
Pandemic,2008,2,4,45,45,45,8,109006,7.58896,1.32857,5597,2.4063,106,121,18
Carcassonne,2000,2,5,45,30,45,7,108776,7.41837,1.30532,7690,1.9057,191,,41
Catan,1995,3,4,120,60,120,10,108064,7.13598,1.48179,7526,2.313,429,413,131
7 Wonders,2010,2,7,30,30,30,10,90021,7.73515,1.27613,4774,2.3264,73,71,9
Dominion,2008,2,4,30,30,30,13,81582,7.61,1.42343,4997,2.3542,104,108,
Ticket to Ride,2004,2,5,60,30,60,8,76207,7.41291,1.29647,4681,1.8445,192,,40
Codenames,2015,2,8,15,15,15,14,74456,7.59814,1.29937,1912,1.2788,101,,
Terraforming Mars,2016,1,5,120,120,120,12,74269,8.41702,1.3877,3053,3.2434,4,6,
7 Wonders Duel,2015,2,2,30,30,30,10,69528,8.1083,1.18213,2175,2.2234,16,20,
Agricola,2007,1,5,150,30,150,12,66107,7.92581,1.55446,6100,3.6395,36,40,
Puerto Rico,2002,3,5,150,90,150,12,65455,7.96662,1.3878,6067,3.2769,31,36,
Splendor,2014,2,4,30,30,30,10,64734,7.44,1.29207,2295,1.7939,183,,37
Scythe,2016,1,5,115,90,115,14,64611,8.21868,1.43603,2570,3.4261,14,12,
Small World,2009,2,5,80,40,80,8,64580,7.246,1.30092,3304,2.3544,280,245,62
Ticket to Ride: Europe,2005,2,5,60,30,60,8,63292,7.54362,1.19318,3587,1.9311,131,,25
Azul,2017,2,4,45,30,45,8,62860,7.79966,1.14986,1639,1.7639,58,,7
King of Tokyo,2011,2,6,30,30,30,8,61141,7.16923,1.3235,2577,1.4901,345,,84
Love Letter,2012,2,4,20,20,20,10,59484,7.23308,1.34062,2639,1.1914,293,,67
Power Grid,2004,2,6,120,120,120,12,58614,7.84218,1.33729,4769,3.2667,48,49,
Wingspan,2019,1,5,70,40,70,10,56146,8.10005,1.34823,1953,2.4393,23,24,1
Dixit,2008,3,6,30,30,30,8,54525,7.24135,1.38153,2102,1.2127,299,,
Patchwork,2014,2,2,30,15,30,8,52225,7.63916,1.15411,1372,1.6239,94,,13
The Castles of Burgundy,2011,2,4,90,30,90,12,50576,8.12675,1.23688,2559,2.9996,15,15,
Citadels,2000,2,8,60,20,60,10,50194,7.07884,1.26096,3689,2.0529,428,342,116
Race for the Galaxy,2007,2,4,60,30,60,12,48919,7.75712,1.4767,3552,2.987,68,60,
Lords of Waterdeep,2012,2,5,120,60,120,12,48671,7.7489,1.26927,2199,2.4588,76,73,
Gloomhaven,2017,1,4,120,60,120,14,47853,8.74356,1.6419,2067,3.8699,1,1,
Stone Age,2008,2,4,90,60,90,10,47258,7.55424,1.24288,2879,2.47,125,115,21
Pandemic Legacy: Season 1,2015,2,4,60,60,60,13,45064,8.5935,1.56316,1237,2.831,2,3,
Forbidden Island,2010,2,4,30,30,30,10,44528,6.78364,1.20363,2069,1.74,773,,237
Munchkin,2001,3,6,120,60,120,10,43759,5.89119,1.83279,2375,1.8051,4798,,
Twilight Struggle,2005,2,2,180,120,180,13,43064,8.27955,1.57743,3657,3.5926,13,11,
Terra Mystica,2012,2,5,150,60,150,12,41823,8.1236,1.4644,2703,3.9674,18,18,
Hanabi,2010,2,5,25,25,25,8,41588,7.07224,1.40179,1557,1.6949,425,,110
Dead of Winter: A Crossroads Game,2014,2,5,120,60,120,13,41405,7.54132,1.42943,1529,3.0118,142,,
Jaipur,2009,2,2,30,30,30,12,41215,7.50318,1.09836,1505,1.4844,145,,28
Bohnanza,1997,2,7,45,45,45,13,40113,7.04109,1.29326,2827,1.6746,473,,118
Betrayal at House on the Hill,2004,3,6,60,60,60,12,39652,7.05682,1.57707,1862,2.3856,552,,
Lost Cities,1999,2,2,30,30,30,10,39535,7.19021,1.26578,2969,1.4914,325,,72
Coup,2012,2,6,15,15,15,13,38758,6.99983,1.41981,1260,1.4095,534,,
Star Realms,2014,2,2,20,20,20,12,38577,7.57886,1.27175,1280,1.9391,124,118,
Sushi Go!,2013,2,5,15,15,15,8,38019,7.04022,1.14621,1123,1.1638,481,,122
Takenoko,2011,2,4,45,45,45,8,38038,7.25965,1.18707,1407,1.9751,301,,63
Blood Rage,2015,2,4,90,60,90,14,37572,7.99259,1.40896,1244,2.8762,35,39,
Arkham Horror,2005,1,8,240,120,240,14,37558,7.24971,1.70236,3785,3.5778,366,,
The Resistance,2009,5,10,30,30,30,13,37370,7.26526,1.46377,1496,1.6043,297,,
Robinson Crusoe: Adventures on the Cursed Island,2012,1,4,120,60,120,14,37107,7.81795,1.42445,1975,3.797,69,,
Kingdomino,2016,2,4,15,15,15,8,36935,7.35009,1.12382,818,1.2152,236,,47
Mysterium,2015,2,7,42,42,42,10,35262,7.28358,1.37448,772,1.9093,290,,64
Viticulture Essential Edition,2015,1,6,90,45,90,13,34792,8.05742,1.2654,1033,2.8925,25,23,
Five Tribes,2014,2,4,80,40,80,13,34594,7.77873,1.27505,1320,2.8545,74,65,
Magic: The Gathering,1993,2,2,20,20,20,13,34402,7.53558,1.83916,2121,3.2235,155,,
Battlestar Galactica: The Board Game,2008,3,6,180,120,180,14,33964,7.74069,1.58615,2124,3.2462,85,,
Tzolk'in: The Mayan Calendar,2012,2,4,90,90,90,13,33217,7.89039,1.26539,1749,3.669,47,45,
Arkham Horror: The Card Game,2016,1,2,120,60,120,14,33081,8.1617,1.50648,1062,3.4774,24,,
Great Western Trail,2016,2,4,150,75,150,12,32984,8.29446,1.26669,1297,3.7124,12,9,
Spirit Island,2017,1,4,120,90,120,13,32239,8.36078,1.46885,1798,4.0289,11,10,
Clank!: A Deck-Building Adventure,2016,2,4,60,30,60,12,31996,7.81497,1.20159,688,2.2224,70,63,8
Hive,2000,2,2,20,20,20,9,31736,7.3235,1.3146,1712,2.323,260,,
Risk,1959,2,6,120,120,120,10,31723,5.5933,1.65635,2266,2.079,20905,,2246
Root,2018,2,4,90,60,90,10,31590,8.09779,1.42732,1258,3.7138,26,29,
Concordia,2013,2,5,100,100,100,13,31531,8.12005,1.18759,1306,3.0145,19,17,
Santorini,2016,2,4,20,20,20,8,31525,7.43995,1.3156,595,1.7261,198,,39
Eldritch Horror,2013,1,8,240,120,240,14,31490,7.78371,1.52626,1539,3.3197,90,,
Sheriff of Nottingham,2014,3,5,60,60,60,14,31472,7.12023,1.29837,743,1.6528,406,,97
Dominion: Intrigue,2009,2,6,30,30,30,13,31226,7.70967,1.35579,1330,2.4211,88,81,
Galaxy Trucker,2007,2,4,60,60,60,10,30973,7.38915,1.44766,1504,2.3271,212,,
Chess,1475,2,2,0,0,0,6,30820,7.15428,1.83958,2450,3.6882,431,,
Monopoly,1933,2,8,180,60,180,8,30817,4.37245,1.86352,1924,1.6377,21827,,2327
Sagrada,2017,1,4,45,30,45,14,30324,7.51438,1.1546,624,1.9263,158,,30
A Game of Thrones: The Board Game (Second Edition),2011,3,6,240,120,240,14,30266,7.57953,1.528,1577,3.7242,154,139,
Alhambra,2003,2,6,60,45,60,8,30166,7.03018,1.18346,2282,2.1039,496,359,120
Caverna: The Cave Farmers,2013,1,7,210,30,210,12,29797,8.00149,1.34267,1512,3.791,33,33,
The Quacks of Quedlinburg,2018,2,4,45,45,45,10,29683,7.84596,1.24269,702,1.9544,61,,6
Mage Knight Board Game,2011,1,4,240,60,240,14,29417,8.09905,1.61745,2481,4.3281,28,27,
Everdell,2018,1,4,80,40,80,13,29041,8.09578,1.28082,880,2.8159,29,31,2
Cosmic Encounter,2008,3,5,120,60,120,12,28836,7.53737,1.70054,1323,2.576,157,143,
The Resistance: Avalon,2012,5,10,30,30,30,13,28818,7.56401,1.51015,944,1.7638,147,,
Mansions of Madness: Second Edition,2016,1,5,180,120,180,14,28536,8.02361,1.48515,581,2.673,41,,
Machi Koro,2012,2,4,30,30,30,10,28415,6.62384,1.36276,1040,1.5288,1046,,318
Scrabble,1948,2,4,90,90,90,10,28248,6.27385,1.6131,1712,2.0864,1916,,703
Roll for the Galaxy,2014,2,5,45,45,45,13,28229,7.64788,1.33473,873,2.7732,103,94,
Le Havre,2008,1,5,150,30,150,12,27996,7.86711,1.41856,1911,3.7352,55,48,
BANG!,2002,4,7,40,20,40,10,27833,6.50794,1.47746,2155,1.6329,1337,,
Android: Netrunner,2012,2,2,45,45,45,14,27695,7.8759,1.66099,1592,3.3938,64,,
Saboteur,2004,3,10,30,30,30,8,27580,6.56369,1.2898,1492,1.3251,1163,,374
Caylus,2005,2,5,150,60,150,12,27494,7.7513,1.47458,3201,3.8019,84,70,
Forbidden Desert,2013,2,5,45,45,45,10,27201,7.12333,1.16996,865,2.0486,416,,96
Istanbul,2014,2,5,60,40,60,10,27086,7.56871,1.14021,998,2.5852,133,113,22
Eclipse,2011,2,6,180,60,180,14,26851,7.87699,1.49504,1901,3.6996,59,54,
Colt Express,2014,2,6,40,40,40,10,26861,7.11106,1.24128,871,1.822,419,,99
Memoir '44,2004,2,8,60,30,60,8,26847,7.55837,1.3774,2280,2.2724,148,,
Tigris & Euphrates,1997,2,4,90,90,90,12,26160,7.69636,1.48149,2676,3.506,98,86,
Shadows over Camelot,2005,3,7,80,60,80,10,26091,7.11218,1.39182,1974,2.5664,432,,
Sushi Go Party!,2016,2,8,20,20,20,8,25871,7.44587,1.13987,445,1.3124,208,,43
For Sale,1997,3,6,30,30,30,10,25692,7.22751,1.14782,1603,1.2595,313,,65
Through the Ages: A New Story of Civilization,2015,2,4,120,120,120,14,25615,8.38379,1.50811,1278,4.4131,9,8,
Star Wars: Rebellion,2016,2,4,240,180,240,14,25603,8.42463,1.36421,878,3.7289,8,,
Brass: Birmingham,2018,2,4,120,60,120,14,25515,8.66343,1.24216,1235,3.8988,3,2,
T.I.M.E Stories,2015,2,4,90,90,90,12,25079,7.50078,1.70995,544,2.5956,184,,
The Crew: The Quest for Planet Nine,2019,2,5,20,20,20,10,25012,7.96895,1.26893,496,1.9899,43,,4
Exploding Kittens,2015,2,5,15,15,15,7,24803,6.04318,1.78771,661,1.0802,3404,,
Smash Up,2012,2,4,45,45,45,12,24780,6.73432,1.49744,926,2.0637,940,683,
Tsuro,2004,2,8,20,15,20,8,24647,6.6708,1.32543,1282,1.234,978,,303
Cards Against Humanity,2009,4,30,30,30,30,17,24643,5.86165,2.08791,879,1.1923,5158,,
Orléans,2014,2,4,90,90,90,12,24610,8.07449,1.16806,855,3.0398,27,21,
El Grande,1995,2,5,120,60,120,12,24485,7.74964,1.33168,2118,3.051,83,67,
Blokus,2000,2,4,20,20,20,7,24059,6.87492,1.24983,1599,1.7617,691,,
Camel Up,2014,2,8,30,20,30,8,24006,7.03999,1.23599,844,1.4751,507,,128
Star Wars: X-Wing Miniatures Game,2012,2,2,45,30,45,14,23718,7.67086,1.4378,1127,2.4889,123,,
Descent: Journeys in the Dark (Second Edition),2012,1,5,120,120,120,14,23640,7.66731,1.47235,1110,3.2072,135,,
One Night Ultimate Werewolf,2014,3,10,10,10,10,8,23184,7.11791,1.60843,613,1.3866,458,,
UNO,1971,2,10,30,30,30,6,23150,5.41271,1.64187,1293,1.1145,21713,,2288
Castles of Mad King Ludwig,2014,1,4,90,90,90,13,23136,7.54253,1.23847,814,2.6536,150,129,
Elder Sign,2011,1,8,90,90,90,13,23119,6.9778,1.39282,1089,2.3508,592,,
6 nimmt!,1994,2,10,45,45,45,8,22954,6.92954,1.26353,1514,1.2054,603,,171
RoboRally,1994,2,8,120,45,120,12,22884,7.0765,1.53932,1727,2.4302,477,362,
San Juan,2004,2,4,60,45,60,10,22714,7.24762,1.17302,2049,2.2865,315,243,
The Mind,2018,2,4,20,20,20,8,22705,6.86787,1.59474,476,1.0714,695,,199
Suburbia,2012,1,4,90,60,90,8,22509,7.50845,1.25759,930,2.7699,163,130,
Imperial Settlers,2014,1,4,90,45,90,10,22229,7.37683,1.30536,845,2.7692,243,188,
Tokaido,2012,2,5,45,45,45,8,22200,6.97117,1.35386,761,1.749,599,,175
Survive: Escape from Atlantis!,1982,2,4,60,45,60,8,22084,7.31187,1.19339,961,1.7024,295,,59
Seasons,2012,2,4,60,60,60,14,22017,7.39504,1.36735,917,2.7732,235,177,
Isle of Skye: From Chieftain to King,2015,2,5,50,30,50,8,21986,7.42032,1.15216,627,2.2488,219,165,44
Flash Point: Fire Rescue,2011,2,6,45,45,45,10,21960,7.19203,1.25058,905,2.2044,380,,85
No Thanks!,2004,3,7,20,20,20,8,21913,7.05648,1.19245,1319,1.1372,472,,111
The Lord of the Rings: The Card Game,2011,1,2,60,30,60,13,21848,7.6544,1.55049,1364,3.184,140,,
The Voyages of Marco Polo,2015,2,4,100,40,100,12,21799,7.83957,1.2662,1038,3.1859,72,55,
Star Wars: Imperial Assault,2014,1,5,120,60,120,14,21800,7.99836,1.41433,853,3.3048,54,,
Welcome To...,2018,1,100,25,25,25,10,21550,7.59704,1.11932,406,1.8227,134,,20
Village,2011,2,4,90,60,90,12,21171,7.51602,1.1921,1127,3.0736,169,131,
BANG! The Dice Game,2013,3,8,15,15,15,8,21131,6.93881,1.30458,679,1.2784,619,,
Brass: Lancashire,2007,2,4,120,60,120,14,20919,8.1818,1.36803,1510,3.8616,20,13,
Kingdom Builder,2011,2,4,45,45,45,8,20847,6.96022,1.41357,1008,2.0615,581,422,149
Secret Hitler,2016,5,10,45,45,45,13,20834,7.54907,1.59174,370,1.6784,201,,
Legendary: A Marvel Deck Building Game,2012,1,5,60,30,60,14,20693,7.5621,1.49094,809,2.4388,196,,
Architects of the West Kingdom,2018,1,5,80,60,80,12,20633,7.80514,1.17136,702,2.7621,81,69,
Century: Spice Road,2017,2,5,45,30,45,8,20396,7.3544,1.22067,509,1.7819,274,,52
Troyes,2010,1,4,90,90,90,12,20221,7.75095,1.33285,1162,3.463,87,72,
Keyflower,2012,2,6,120,90,120,12,20148,7.78241,1.31122,915,3.3443,79,66,
A Feast for Odin,2016,1,4,120,30,120,12,20093,8.20517,1.35545,748,3.857,22,16,
"Hey, That's My Fish!",2003,2,4,20,20,20,8,20075,6.69992,1.12235,1502,1.4541,909,,269
Ghost Stories,2008,1,4,60,60,60,12,20016,7.30785,1.41481,1017,2.9046,298,231,
Guillotine,1998,2,5,30,30,30,12,19942,6.53347,1.2978,1500,1.2673,1234,,422
Ra,1999,2,5,60,45,60,12,19763,7.47951,1.33823,1765,2.3496,190,138,
Alchemists,2014,2,4,120,120,120,13,19572,7.66852,1.41296,1044,3.9119,120,104,
Spyfall,2014,3,8,15,15,15,13,19193,6.85207,1.41015,471,1.2378,717,,
Gaia Project,2017,1,4,150,60,150,12,19183,8.47268,1.38745,1222,4.3658,7,7,
Photosynthesis,2017,2,4,60,30,60,10,18873,7.09107,1.24017,372,2.2742,491,,115
Cyclades,2009,2,5,90,60,90,13,18852,7.51932,1.33088,968,2.8182,197,151,
Coloretto,2003,2,5,30,30,30,8,18806,6.97041,1.13102,1425,1.2814,575,,146
The 7th Continent,2017,1,4,1000,5,1000,14,18806,8.04625,1.63716,540,2.8907,51,,
Dominant Species,2010,2,6,240,120,240,14,18786,7.83735,1.50707,1487,4.0424,77,58,
Kingsburg,2007,2,5,90,90,90,13,18744,7.18593,1.22982,1226,2.4274,389,278,83
Acquire,1964,2,6,90,90,90,12,18721,7.33797,1.33705,1612,2.5019,291,220,
Thurn and Taxis,2006,2,4,60,60,60,10,18703,7.09817,1.17824,1819,2.2595,460,321,106
Twilight Imperium: Third Edition,2005,3,6,240,180,240,14,18623,7.82571,1.70127,2060,4.2539,86,79,
Codenames: Pictures,2016,2,8,15,15,15,10,18640,7.23858,1.26715,249,1.245,355,,
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,1,8,120,60,120,13,18566,7.70146,1.4381,597,2.6817,109,,
Tikal,1999,2,4,90,90,90,10,18520,7.33212,1.19463,1511,2.7909,284,211,
Clue,1949,2,6,45,45,45,8,18448,5.67028,1.49473,1192,1.656,8942,,2008
Through the Ages: A Story of Civilization,2006,2,4,120,120,120,12,18379,7.90336,1.6873,1813,4.1748,62,50,
Raiders of the North Sea,2015,2,4,80,60,80,12,18327,7.77011,1.17691,529,2.5312,92,80,
Diamant,2005,3,8,30,30,30,8,18123,6.82429,1.20609,832,1.1118,756,,211
Modern Art,1992,3,5,45,45,45,10,18119,7.43915,1.32575,1409,2.2995,223,163,
Apples to Apples,1999,4,10,30,30,30,12,18052,5.79461,1.69865,1474,1.1588,5283,,
Dixit: Odyssey,2011,3,12,30,30,30,8,17979,7.44377,1.34135,565,1.1858,238,,
Friday,2011,1,1,25,25,25,13,17929,7.13639,1.22182,790,2.1468,435,324,
Deception: Murder in Hong Kong,2014,4,12,20,20,20,14,17927,7.4898,1.32495,320,1.5906,205,,
Formula D,2008,2,10,60,60,60,8,17847,7.01573,1.32365,779,1.9743,555,,151
Nemesis,2018,1,5,180,90,180,12,17710,8.38755,1.5041,638,3.3824,17,,
Mice and Mystics,2012,1,4,90,60,90,7,17623,7.28616,1.41684,734,2.7153,362,,
Rising Sun,2018,3,5,120,90,120,14,17503,7.83483,1.61521,538,3.2825,93,84,
Captain Sonar,2016,2,8,60,45,60,14,17428,7.55405,1.37302,306,2.1634,171,,
That's Pretty Clever!,2018,1,4,30,30,30,8,17403,7.62365,1.11411,405,1.884,136,,19
Zombicide,2012,1,6,60,60,60,14,17283,7.14059,1.57088,782,2.5435,527,,
Magic Maze,2017,1,8,15,15,15,8,17274,7.01784,1.33029,288,1.7569,546,,144
Onitama,2014,2,2,20,15,20,8,17209,7.38691,1.21636,278,1.6835,265,,
Qwirkle,2006,2,4,45,45,45,6,17197,6.77722,1.24139,770,1.6169,850,,250
Kemet,2012,2,5,120,90,120,13,17193,7.70222,1.33004,683,2.9971,113,95,
Jamaica,2007,2,6,60,30,60,8,17115,7.05614,1.24833,775,1.6516,526,,130
Tiny Epic Galaxies,2015,1,5,45,30,45,14,17116,7.36259,1.20296,444,2.1554,287,229,
Chronicles of Crime,2018,1,4,90,60,90,14,17122,7.73296,1.39039,277,2.0722,174,,
Targi,2012,2,2,60,60,60,12,16988,7.64216,1.09767,548,2.3558,127,103,
Dice Forge,2017,2,4,45,45,45,10,16967,7.27204,1.21753,354,1.9661,363,,75
Lost Ruins of Arnak,2020,1,4,120,30,120,12,16933,8.11465,1.19768,610,2.8541,34,32,3
Zombie Dice,2010,2,99,20,10,20,10,16811,6.2167,1.44743,807,1.0991,2183,,
The Pillars of the Earth,2006,2,4,120,90,120,12,16790,7.28262,1.18901,1385,2.8209,323,236,
Concept,2013,4,12,40,40,40,10,16770,6.80473,1.37286,455,1.3912,826,,
Clans of Caledonia,2017,1,4,120,30,120,12,16724,7.98675,1.17759,680,3.4588,52,43,
Cartographers,2019,1,100,45,30,45,10,16729,7.71772,1.10763,406,1.8842,111,,14
Codenames: Duet,2017,2,2,30,15,30,11,16718,7.53448,1.21783,304,1.3454,179,,29
Skull,2011,3,6,45,15,45,10,16547,7.2041,1.41441,453,1.1325,395,,
Fluxx,1997,2,6,30,5,30,8,16508,5.67209,1.81446,1066,1.3893,9255,,2139
Legends of Andor,2012,2,4,90,60,90,10,16290,7.18335,1.44736,708,2.7655,437,,
Battle Line,2000,2,2,30,30,30,12,16174,7.41393,1.25477,1180,1.8992,244,179,
Mr. Jack,2006,2,2,30,30,30,9,16109,6.99947,1.23582,1134,2.1764,574,415,
Ingenious,2004,1,4,45,30,45,8,16056,7.11718,1.19113,1376,1.9135,464,,
Twilight Imperium: Fourth Edition,2017,3,6,480,240,480,14,16036,8.67603,1.6059,747,4.261,5,4,
Escape: The Curse of the Temple,2012,1,5,10,10,10,8,15963,6.98559,1.40408,678,1.4823,587,,157
Gloomhaven: Jaws of the Lion,2020,1,4,120,30,120,14,15963,8.68168,1.42336,529,3.5747,6,5,
Biblios,2007,2,4,30,30,30,10,15874,7.20327,1.18126,754,1.6844,388,276,81
Russian Railroads,2013,2,4,120,90,120,12,15846,7.76155,1.28644,791,3.4096,97,74,
Innovation,2010,2,4,60,45,60,12,15802,7.26576,1.60202,875,2.7543,343,250,
Just One,2018,3,7,20,20,20,8,15806,7.61605,1.18696,296,1.0473,144,,
Roll Player,2016,1,4,90,60,90,10,15640,7.50987,1.18383,327,2.4128,206,152,
Trajan,2011,2,4,120,60,120,12,15575,7.75699,1.3585,877,3.6488,100,76,
Go,-2200,2,2,180,30,180,8,15516,7.63588,1.91137,1506,3.9422,186,,
War of the Ring: Second Edition,2012,2,4,180,150,180,13,15508,8.51211,1.48524,849,4.172,10,,
The Quest for El Dorado,2017,2,4,60,30,60,10,15449,7.62274,1.08817,370,1.927,146,,23
Food Chain Magnate,2015,2,5,240,120,240,14,15414,8.11562,1.58691,788,4.2005,32,22,
Potion Explosion,2015,2,4,45,30,45,8,15285,7.14519,1.19084,268,1.75,463,,107
Samurai,1998,2,4,60,30,60,10,15202,7.45491,1.18259,1453,2.4866,231,167,
Sentinels of the Multiverse,2011,2,5,60,30,60,8,15194,7.19884,1.6783,725,2.5034,452,,
Teotihuacan: City of Gods,2018,1,4,120,90,120,14,15172,7.92804,1.28405,678,3.7655,71,52,
Space Alert,2008,1,5,30,30,30,12,15160,7.42644,1.57088,793,2.9609,248,,
Mechs vs. Minions,2016,2,4,120,60,120,14,15124,8.02394,1.33659,285,2.4246,53,47,
Arboretum,2015,2,4,30,30,30,8,15114,7.36252,1.22103,446,2.1547,282,,54
Scotland Yard,1983,3,6,45,45,45,10,15056,6.51223,1.27283,951,1.9548,1311,,432
Saint Petersburg,2004,2,4,60,45,60,10,15010,7.28966,1.31264,1395,2.4667,332,238,
King of New York,2014,2,6,40,40,40,10,14947,6.93809,1.28662,461,1.859,677,,183
Dune: Imperium,2020,1,4,120,60,120,14,14949,8.32094,1.228,517,2.9671,21,14,
Sid Meier's Civilization: The Board Game,2010,2,4,240,120,240,13,14853,7.4012,1.49786,1099,3.8872,289,213,
Castle Panic,2009,1,6,60,60,60,10,14840,6.65141,1.30464,690,1.6638,1097,,334
The Princes of Florence,2000,2,5,100,75,100,12,14779,7.52598,1.35583,1577,3.2473,204,142,
The Lord of the Rings,2000,2,5,90,60,90,12,14753,6.74411,1.4712,1320,2.5652,933,,
Zombies!!!,2001,2,6,90,60,90,15,14718,5.80037,1.89758,1180,1.6127,6684,,
Grand Austria Hotel,2015,2,4,120,60,120,12,14718,7.87849,1.26746,610,3.2279,78,59,
Boss Monster: The Dungeon Building Card Game,2013,2,4,30,30,30,13,14711,6.27946,1.4616,463,1.8467,2089,,784
Chaos in the Old World,2009,3,4,120,60,120,13,14674,7.67536,1.47853,900,3.1933,138,112,
Champions of Midgard,2015,2,4,90,60,90,10,14636,7.76208,1.24906,354,2.5904,107,93,
Inis,2016,2,4,90,60,90,14,14568,7.81489,1.48365,392,2.8801,102,91,
Evolution,2014,2,6,60,60,60,12,14548,7.11148,1.31134,558,2.4355,510,355,
Can't Stop,1980,2,4,30,30,30,9,14498,6.85444,1.30918,943,1.1548,752,,206
Alien Frontiers,2010,2,4,90,90,90,13,14492,7.39804,1.3126,842,2.5701,264,187,
Decrypto,2018,3,8,45,15,45,12,14500,7.79134,1.24593,244,1.7951,99,,
Stratego,1946,2,2,45,45,45,8,14480,6.10099,1.37392,926,1.8488,2674,,943
Rummikub,1977,2,4,60,60,60,8,14459,6.40298,1.42338,788,1.7373,1642,,572
Letters from Whitechapel,2011,2,6,90,90,90,14,14409,7.38148,1.35652,622,2.6479,292,219,
Spot it!,2009,2,8,15,15,15,7,14340,6.61343,1.42258,563,1.0284,1184,,
Port Royal,2014,2,5,50,20,50,8,14329,7.13361,1.17754,491,1.6191,479,,109
Zooloretto,2007,2,5,45,45,45,8,14278,6.8246,1.16875,1120,1.8598,823,,230
Tapestry,2019,1,5,120,90,120,12,14263,7.46124,1.65228,583,2.8902,245,181,
Gloom,2005,2,4,60,60,60,13,14235,6.33249,1.43227,700,1.6329,1893,,
Telestrations,2009,4,8,30,30,30,12,14122,7.39635,1.38242,389,1.0771,277,,
Harry Potter: Hogwarts Battle,2016,2,4,60,30,60,11,14104,7.43243,1.37093,309,2.0841,307,264,
Marvel Champions: The Card Game,2019,1,4,90,45,90,14,14049,8.20354,1.42176,444,2.8626,37,,
Res Arcana,2019,2,4,60,30,60,12,13975,7.74168,1.33372,368,2.6033,118,97,
Bärenpark,2017,2,4,45,30,45,8,13947,7.35452,1.0726,312,1.641,304,,55
Above and Below,2015,2,4,90,90,90,13,13911,7.40154,1.26216,375,2.5253,283,,
Hero Realms,2016,2,4,30,20,30,12,13909,7.57742,1.21361,227,1.8943,218,171,
Wits & Wagers,2005,3,7,25,25,25,10,13901,6.93285,1.27804,769,1.2107,667,,
Lewis & Clark: The Expedition,2013,1,5,120,120,120,14,13888,7.48255,1.29372,702,3.3376,228,159,
Talisman: Revised 4th Edition,2007,2,6,90,90,90,13,13886,6.52086,1.85516,831,2.1853,1574,,
Tichu,1991,4,4,60,60,60,10,13884,7.57768,1.68028,926,2.3413,187,134,
Flamme Rouge,2016,2,4,45,30,45,8,13881,7.53518,1.27153,343,1.6939,213,,38
Aeon's End,2016,1,4,60,60,60,14,13847,8.00767,1.33632,366,2.7787,65,53,
Neuroshima Hex! 3.0,2006,1,4,30,30,30,13,13806,7.40331,1.39528,849,2.616,296,224,
Last Night on Earth: The Zombie Game,2007,2,6,90,60,90,12,13735,6.93243,1.52842,1128,2.2926,769,,
Zombicide: Black Plague,2015,1,6,180,60,180,14,13712,7.66769,1.43117,321,2.5078,195,,
Red7,2014,2,4,30,5,30,9,13665,6.89985,1.30213,421,1.6912,720,,191
Pandemic Legacy: Season 2,2017,2,4,60,60,60,14,13651,8.10833,1.68735,251,3.2311,42,34,
Dungeon Petz,2011,2,4,90,90,90,13,13493,7.44725,1.36101,671,3.6215,241,173,
Crokinole,1876,2,4,30,30,30,8,13455,7.94517,1.63084,609,1.2496,63,,5
Ca$h 'n Guns (Second Edition),2014,4,8,30,30,30,10,13379,6.87958,1.24915,335,1.2537,748,,
Quarriors!,2011,2,4,30,30,30,14,13371,6.7501,1.43224,757,1.9683,946,641,
Catan Card Game,1996,2,2,120,60,120,10,13322,6.71196,1.41348,1113,2.4474,1028,672,
Anachrony,2017,1,4,120,30,120,15,13327,8.11122,1.38126,743,4.0081,46,38,
Glory to Rome,2005,2,5,60,60,60,12,13278,7.48733,1.40336,902,2.9246,224,155,
Perudo,1800,2,6,30,15,30,8,13225,6.90368,1.40538,924,1.2619,727,,194
Dungeon Lords,2009,2,4,90,90,90,12,13170,7.3835,1.42615,929,3.5619,288,201,
Merchants & Marauders,2010,2,4,180,180,180,13,13151,7.40422,1.48595,826,3.2409,294,,
Shogun,2006,3,5,120,90,120,12,13136,7.53401,1.34127,1213,3.3718,216,153,
Tiny Towns,2019,1,6,60,45,60,14,13150,7.31727,1.17664,239,2.0753,342,,66
Dinosaur Island,2017,1,4,120,90,120,8,13125,7.6805,1.33434,389,3.0386,151,123,
Through the Desert,1998,2,5,45,45,45,10,13104,7.07634,1.22363,1395,2.2043,525,349,
Imhotep,2016,2,4,40,40,40,10,13071,7.17791,1.13099,270,2.0037,444,,91
Mansions of Madness,2011,2,5,180,120,180,13,13056,7.28883,1.55679,736,3.2432,412,,
The Grizzled,2015,2,5,30,30,30,14,13055,7.17571,1.27959,319,1.9404,450,,
Disney Villainous,2018,2,6,50,50,50,10,13012,7.05067,1.43648,279,2.4373,650,,181
Hanamikoji,2013,2,2,15,15,15,10,12984,7.53343,1.18136,318,1.717,211,,36
Libertalia,2012,2,6,60,40,60,14,12944,7.15261,1.27627,482,2.2386,459,318,
Underwater Cities,2018,1,4,150,80,150,12,12762,8.10335,1.18482,487,3.6057,45,35,
