Rk,Name,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS
65,Andre Dawson,2010,21,1976,1996,8,64.9,2627,10769,9927,1373,2774,503,98,438,1591,314,109,589,1509,143,217,118,24,0.279,0.323,0.482,0.806
3,Roberto Alomar,2011,17,1988,2004,12,67,2379,10400,9073,1508,2724,504,80,210,1134,474,114,1032,1140,62,206,97,148,0.3,0.371,0.443,0.814
154,Barry Larkin,2012,19,1986,2004,12,70.5,2180,9057,7937,1329,2340,441,76,198,960,379,77,939,817,66,178,67,59,0.295,0.371,0.444,0.815
237,Ron Santo,2012,15,1960,1974,9,70.5,2243,9397,8143,1138,2254,365,67,342,1331,35,41,1108,1343,94,256,94,13,0.277,0.362,0.464,0.826
286,Deacon White,2013,20,1871,1890,0,45.7,1560,6973,6624,1140,2067,270,98,24,988,70,9,308,221,,8,,,0.312,0.346,0.393,0.74
265,Frank Thomas,2014,19,1990,2008,5,73.8,2322,10075,8199,1494,2468,495,12,521,1704,32,23,1667,1397,168,226,121,0,0.301,0.419,0.555,0.974
22,Craig Biggio,2015,20,1988,2007,7,65.5,2850,12504,10876,1844,3060,668,55,291,1175,414,124,1160,1753,68,150,81,101,0.281,0.363,0.433,0.796
102,Ken Griffey Jr.,2016,22,1989,2010,13,83.8,2671,11304,9801,1662,2781,524,38,630,1836,184,69,1312,1779,246,199,102,8,0.284,0.37,0.538,0.907
210,Mike Piazza,2016,16,1992,2007,12,59.5,1912,7745,6911,1048,2127,344,8,427,1335,17,20,759,1113,146,229,45,0,0.308,0.377,0.545,0.922
228,Iván Rodríguez,2017,21,1991,2011,14,68.7,2543,10270,9592,1354,2844,572,51,311,1332,127,64,513,1474,67,337,76,31,0.296,0.334,0.464,0.798
11,Jeff Bagwell,2017,15,1991,2005,4,79.9,2150,9431,7797,1517,2314,488,32,449,1529,202,78,1401,1558,155,221,102,3,0.297,0.408,0.54,0.948
214,Tim Raines,2017,23,1979,2002,7,69.4,2502,10359,8872,1571,2605,430,113,170,980,808,146,1330,966,148,142,76,39,0.294,0.385,0.425,0.81
271,Alan Trammell,2018,20,1977,1996,6,70.6,2293,9376,8288,1231,2365,412,55,185,1003,236,109,850,874,48,156,76,124,0.285,0.352,0.415,0.767
138,Chipper Jones,2018,19,1993,2012,8,85.3,2499,10614,8984,1619,2726,549,38,468,1623,150,46,1512,1409,177,253,97,3,0.303,0.401,0.529,0.93
266,Jim Thome,2018,22,1991,2012,5,73.1,2543,10313,8422,1583,2328,451,26,612,1699,19,20,1747,2548,173,165,74,1,0.276,0.402,0.554,0.956
106,Vladimir Guerrero,2018,16,1996,2011,9,59.5,2147,9059,8155,1328,2590,477,46,449,1496,181,94,737,985,250,277,64,0,0.318,0.379,0.553,0.931
172,Edgar Martínez,2019,18,1987,2004,7,68.4,2055,8674,7213,1219,2247,514,15,309,1261,49,30,1283,1202,113,190,77,10,0.312,0.418,0.515,0.933
12,Harold Baines,2019,22,1980,2001,6,38.8,2830,11092,9908,1299,2866,488,49,384,1628,34,34,1062,1441,187,298,99,9,0.289,0.356,0.465,0.82
134,Derek Jeter,2020,20,1995,2014,14,71.3,2747,12602,11195,1923,3465,544,66,260,1311,358,97,1082,1840,39,287,58,97,0.31,0.377,0.44,0.817
277,Larry Walker,2020,17,1989,2005,5,72.7,1988,8030,6907,1355,2160,471,62,383,1311,230,76,913,1231,117,153,65,7,0.313,0.4,0.565,0.965
245,Ted Simmons,2020,21,1968,1988,8,50.4,2456,9685,8680,1074,2472,483,47,248,1389,21,33,855,694,188,287,100,11,0.285,0.348,0.437,0.785
203,David Ortiz,2022,20,1997,2016,10,55.3,2408,10091,8640,1419,2472,632,19,541,1768,17,9,1319,1750,209,236,92,2,0.286,0.38,0.552,0.931
121,Gil Hodges,2022,18,1943,1963,8,43.8,2071,8104,7030,1105,1921,295,48,370,1274,63,42,943,1137,109,165,50,56,0.273,0.359,0.487,0.846
188,Minnie Miñoso,2022,20,1946,1980,13,53.3,1948,8233,7059,1228,2113,365,95,195,1089,216,130,848,584,43,185,57,69,0.299,0.387,0.461,0.848
202,Tony Oliva,2022,15,1962,1976,8,43,1676,6880,6301,870,1917,329,48,220,947,86,55,448,645,131,139,57,14,0.304,0.353,0.476,0.83
183,Fred McGriff,2023,19,1986,2004,5,52.6,2460,10174,8757,1349,2490,441,24,493,1550,72,38,1305,1882,171,226,71,2,0.284,0.377,0.509,0.886
230,Scott Rolen,2023,17,1996,2012,7,70.1,2038,8518,7398,1211,2077,517,43,316,1287,118,49,899,1410,57,150,93,1,0.281,0.364,0.49,0.855
18,Adrian Beltré,2024,21,1998,2018,4,93.5,2933,12130,11068,1524,3166,636,38,477,1707,121,42,848,1732,112,279,103,14,0.286,0.339,0.48,0.819
176,Joe Mauer,2024,15,2004,2018,6,55.2,1858,7960,6930,1018,2123,428,30,143,923,52,19,939,1034,145,208,60,6,0.306,0.388,0.439,0.827
116,Todd Helton,2024,17,1997,2013,5,61.8,2247,9453,7962,1401,2519,592,37,369,1406,37,29,1335,1175,185,186,93,3,0.316,0.414,0.539,0.953
