Rk,Name,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS
115,Harry Heilmann,1952,17,1914,1932,0,72.2,2147,8972,7787,1291,2660,542,151,183,1543,113,74,856,550,36,,,277,0.342,0.41,0.52,0.93
281,Paul Waner,1952,20,1926,1945,4,74.8,2549,10767,9459,1627,3152,605,191,113,1309,104,101,1091,376,53,127,,174,0.333,0.404,0.473,0.878
244,Al Simmons,1953,20,1924,1944,3,68.3,2215,9520,8759,1507,2927,539,149,307,1828,88,68,615,737,79,23,,111,0.334,0.38,0.535,0.915
278,Bobby Wallace,1953,25,1894,1918,0,70.4,2383,9631,8618,1057,2309,391,143,34,1121,201,10,774,560,,,,173,0.268,0.332,0.358,0.69
69,Bill Dickey,1954,17,1928,1946,11,56.4,1789,7065,6300,930,1969,343,72,202,1209,36,32,678,289,101,49,,51,0.313,0.382,0.486,0.868
264,Bill Terry,1954,14,1923,1936,3,56.6,1721,7111,6428,1120,2193,373,112,154,1078,56,63,537,449,32,38,,137,0.341,0.393,0.506,0.899
169,Rabbit Maranville,1954,23,1912,1935,0,44,2670,11260,10078,1256,2605,380,177,28,884,291,150,839,756,4,21,,300,0.258,0.318,0.34,0.658
114,Gabby Hartnett,1955,20,1922,1941,6,55.5,1990,7300,6432,867,1912,396,64,236,1179,28,32,703,697,114,93,,127,0.297,0.37,0.489,0.858
13,Home Run Baker,1955,13,1908,1922,0,62.8,1575,6677,5984,887,1838,315,103,96,991,235,54,473,344,,,,153,0.307,0.363,0.442,0.805
71,Joe DiMaggio,1955,13,1936,1951,13,79.1,1736,7672,6821,1390,2214,389,131,361,1537,30,9,790,369,111,130,,14,0.325,0.398,0.579,0.977
239,Ray Schalk,1955,18,1912,1929,0,33,1762,6242,5306,579,1345,199,49,11,593,177,69,638,358,5,,,214,0.253,0.34,0.316,0.656
101,Hank Greenberg,1956,13,1930,1947,5,55.5,1394,6098,5193,1046,1628,379,71,331,1274,58,30,852,844,82,66,,35,0.313,0.412,0.605,1.017
60,Joe Cronin,1956,20,1926,1945,7,64.7,2124,8840,7579,1233,2285,515,118,170,1424,87,71,1059,700,41,57,,166,0.301,0.39,0.468,0.857
59,Sam Crawford,1957,19,1899,1917,0,75.4,2517,10627,9570,1391,2961,458,309,97,1523,367,43,760,580,,,,241,0.309,0.362,0.452,0.814
285,Zack Wheat,1959,19,1909,1927,0,60.4,2410,10007,9106,1289,2884,476,172,132,1248,205,73,650,572,15,,,163,0.317,0.367,0.45,0.817
111,Billy Hamilton,1961,14,1888,1901,0,63.2,1594,7609,6283,1697,2164,242,95,40,742,914,,1189,362,,,,47,0.344,0.455,0.432,0.888
38,Max Carey,1961,20,1910,1929,0,55.6,2476,10772,9363,1545,2665,419,159,70,802,738,127,1040,695,6,,,290,0.285,0.361,0.386,0.747
231,Edd Roush,1962,18,1913,1931,0,45.8,1967,8157,7363,1099,2376,339,182,68,981,268,134,484,260,10,,,256,0.323,0.369,0.446,0.815
226,Jackie Robinson,1962,11,1945,1956,7,63.9,1416,5941,4997,972,1563,286,55,141,761,200,76,756,291,61,113,9,105,0.313,0.41,0.477,0.887
85,Elmer Flick,1963,13,1898,1910,0,52.7,1483,6434,5597,950,1752,268,164,48,756,330,,597,567,,,,121,0.313,0.389,0.445,0.834
217,Sam Rice,1963,20,1915,1934,0,54.3,2404,10260,9269,1514,2987,498,184,34,1077,351,147,708,275,10,,,213,0.322,0.374,0.427,0.801
168,Heinie Manush,1964,17,1923,1939,1,48.1,2008,8422,7654,1288,2524,491,160,110,1183,113,69,506,345,33,11,,186,0.33,0.377,0.479,0.856
282,John Ward,1964,17,1878,1894,0,34.3,1827,8114,7656,1410,2107,231,96,26,869,540,,421,326,,,,20,0.275,0.314,0.341,0.655
8,Luke Appling,1964,20,1930,1950,7,77.4,2422,10254,8856,1319,2749,440,102,45,1116,179,108,1302,528,68,129,,74,0.31,0.399,0.398,0.798
291,Ted Williams,1966,19,1939,1960,19,121.8,2292,9792,7706,1798,2654,525,71,521,1839,24,17,2021,709,258,197,20,5,0.344,0.482,0.634,1.116
280,Lloyd Waner,1967,18,1927,1945,1,29.8,1993,8337,7772,1201,2459,281,118,27,598,67,60,420,173,9,57,,108,0.316,0.353,0.393,0.747
99,Goose Goslin,1968,18,1921,1938,1,66,2287,9831,8656,1482,2735,500,173,248,1612,176,94,949,585,67,,,162,0.316,0.387,0.5,0.887
186,Joe Medwick,1968,17,1932,1948,10,54.5,1984,8143,7635,1198,2471,540,113,205,1383,42,37,437,551,101,203,,44,0.324,0.362,0.505,0.867
62,Kiki Cuyler,1968,18,1921,1938,1,48.1,1879,8100,7161,1305,2299,394,157,128,1065,328,148,676,752,20,53,,176,0.321,0.386,0.474,0.86
36,Roy Campanella,1969,18,1937,1957,11,42,1449,5727,5030,786,1422,232,31,260,1019,38,20,609,501,114,146,18,35,0.283,0.363,0.496,0.859
194,Stan Musial,1969,22,1941,1963,24,128.5,3026,12721,10972,1949,3630,725,177,475,1951,78,71,1599,696,298,243,53,35,0.331,0.417,0.559,0.976
52,Earle Combs,1970,12,1924,1935,0,45.1,1455,6514,5746,1186,1866,309,154,58,633,98,70,670,278,8,,,74,0.325,0.397,0.462,0.859
26,Lou Boudreau,1970,15,1938,1952,8,63.2,1646,7025,6029,861,1779,385,66,68,789,51,50,796,309,40,155,,164,0.295,0.38,0.415,0.795
108,Chick Hafey,1971,13,1924,1937,1,31.3,1283,5116,4625,777,1466,341,67,164,833,70,52,372,477,37,28,,83,0.317,0.372,0.526,0.898
14,Dave Bancroft,1971,16,1915,1930,0,50,1913,8250,7182,1048,2004,320,77,32,591,145,90,827,487,4,,,212,0.279,0.355,0.358,0.714
123,Harry Hooper,1971,17,1909,1925,0,53.5,2309,10277,8785,1429,2466,389,160,75,816,375,141,1136,582,3,,,247,0.281,0.368,0.387,0.755
16,Jake Beckley,1971,20,1888,1907,0,61.5,2392,10518,9551,1603,2938,473,244,87,1581,315,,616,526,,,,167,0.308,0.361,0.436,0.797
145,Joe Kelley,1971,17,1891,1908,0,50.4,1853,8163,7006,1421,2220,358,194,65,1194,443,,911,430,,,,140,0.317,0.402,0.451,0.853
158,Buck Leonard,1972,14,1935,1948,13,30,604,2614,2163,549,748,144,50,97,548,32,,403,,2,2,0,28,0.346,0.453,0.593,1.046
95,Josh Gibson,1972,14,1930,1946,12,38.3,602,2526,2168,612,808,135,58,166,733,40,,336,,11,1,0,18,0.373,0.458,0.718,1.176
301,Ross Youngs,1972,10,1917,1926,0,32.7,1211,5337,4627,812,1491,236,93,42,592,153,93,550,390,6,,,119,0.322,0.399,0.441,0.839
21,Yogi Berra,1972,19,1946,1965,18,59.5,2120,8364,7555,1175,2150,321,49,358,1430,30,26,704,414,91,146,44,9,0.285,0.348,0.482,0.83
146,George Kelly,1973,16,1915,1932,0,25.6,1622,6570,5993,819,1778,337,76,148,1020,65,64,386,694,14,,,158,0.297,0.342,0.452,0.794
129,Monte Irvin,1973,18,1938,1956,7,32.1,1044,4062,3523,580,1076,155,43,139,684,52,9,474,220,26,81,11,24,0.305,0.391,0.492,0.883
47,Roberto Clemente,1973,18,1955,1972,15,94.9,2433,10212,9454,1416,3000,440,166,240,1305,83,46,621,1230,167,275,66,36,0.317,0.359,0.475,0.834
17,Cool Papa Bell,1974,21,1922,1946,8,30.9,1202,5361,4767,1152,1548,262,72,57,596,285,,531,,1,0,0,49,0.325,0.394,0.446,0.84
25,Jim Bottomley,1974,16,1922,1937,0,35.8,1991,8358,7471,1177,2313,465,151,219,1422,58,55,664,591,35,33,,177,0.31,0.369,0.5,0.869
167,Mickey Mantle,1974,18,1951,1968,20,110.2,2401,9910,8102,1676,2415,344,72,536,1509,153,38,1733,1710,148,113,47,14,0.298,0.421,0.557,0.977
267,Sam Thompson,1974,15,1885,1906,0,44.4,1410,6526,5998,1261,1988,343,161,126,1308,232,,452,234,,,,13,0.331,0.384,0.505,0.89
118,Billy Herman,1975,15,1931,1947,10,57.4,1922,8641,7707,1163,2345,486,82,47,839,67,72,737,428,34,191,,171,0.304,0.367,0.407,0.774
10,Earl Averill,1975,13,1929,1941,6,51.6,1669,7221,6353,1224,2019,401,128,238,1164,70,58,774,518,36,7,,55,0.318,0.395,0.534,0.928
135,Judy Johnson,1975,11,1923,1936,2,13.6,709,2884,2663,467,809,152,40,25,457,75,5,185,14,,,,30,0.304,0.35,0.419,0.769
149,Ralph Kiner,1975,10,1946,1955,6,48,1472,6256,5205,971,1451,216,39,369,1015,22,18,1011,749,90,126,7,9,0.279,0.398,0.548,0.946
159,Freddie Lindstrom,1976,13,1924,1936,0,28.5,1438,6109,5611,895,1747,301,81,103,779,84,99,334,276,11,35,,146,0.311,0.351,0.449,0.8
43,Oscar Charleston,1976,18,1920,1941,3,48.4,918,3885,3317,854,1210,241,80,143,853,210,,478,,0,0,,62,0.365,0.449,0.615,1.064
55,Roger Connor,1976,18,1880,1897,0,84.3,1998,8847,7797,1620,2467,441,233,138,1323,244,,1002,455,,,,9,0.316,0.397,0.486,0.883
15,Ernie Banks,1977,19,1953,1971,14,67.7,2528,10396,9421,1305,2583,407,90,512,1636,50,53,763,1236,202,229,96,45,0.274,0.33,0.5,0.83
243,Joe Sewell,1977,14,1920,1933,0,54.7,1903,8333,7132,1141,2226,436,68,49,1054,74,74,842,114,25,,,275,0.312,0.391,0.413,0.804
160,John Henry Lloyd,1977,8,1921,1929,0,13.8,433,1786,1629,297,569,87,27,16,308,59,,133,,,,,20,0.349,0.4,0.465,0.865
174,Eddie Mathews,1978,17,1952,1968,12,95.9,2391,10101,8537,1509,2315,354,72,512,1453,68,39,1444,1487,142,123,58,36,0.271,0.376,0.509,0.885
293,Hack Wilson,1979,12,1923,1934,0,38.7,1348,5557,4760,884,1461,266,67,244,1063,52,34,674,713,29,15,,102,0.307,0.395,0.545,0.94
177,Willie Mays,1979,23,1948,1973,24,156.2,3005,12545,10924,2068,3293,525,141,660,1909,339,103,1468,1526,214,251,91,13,0.301,0.384,0.557,0.94
141,Al Kaline,1980,22,1953,1974,18,92.8,2834,11597,10116,1622,3007,498,75,399,1582,137,65,1277,1020,133,271,104,45,0.297,0.376,0.48,0.855
150,Chuck Klein,1980,17,1928,1944,2,46.6,1753,7172,6486,1168,2076,398,74,300,1201,79,72,601,521,48,55,,69,0.32,0.379,0.543,0.922
252,Duke Snider,1980,18,1947,1964,8,65.9,2143,8237,7161,1259,2116,358,85,407,1333,99,73,971,1237,154,166,32,52,0.295,0.38,0.54,0.919
189,Johnny Mize,1981,15,1936,1953,10,70.6,1884,7372,6443,1118,2011,367,83,359,1337,28,12,856,524,150,99,,20,0.312,0.397,0.562,0.959
