Player,Team,League,AtBats,Hits,BattingAvg
Jake Cronenworth,San Diego Padres,NL,458,105,0.229
Fernando Tatis Jr.,San Diego Padres,NL,575,148,0.257
Manny Machado,San Diego Padres,NL,543,140,0.258
Ha-Seong Kim,San Diego Padres,NL,538,140,0.26
Juan Soto,San Diego Padres,NL,568,156,0.275
Xander Bogaerts,San Diego Padres,NL,596,170,0.285
Dylan Moore,Seattle Mariners,AL,145,30,0.207
José Caballero,Seattle Mariners,AL,231,51,0.221
Mike Ford,Seattle Mariners,AL,219,50,0.228
Jarred Kelenic,Seattle Mariners,AL,372,94,0.253
Tom Murphy,Seattle Mariners,AL,145,42,0.29
Cal Raleigh,Seattle Mariners,AL,513,119,0.232
Eugenio Suárez,Seattle Mariners,AL,598,139,0.232
Ty France,Seattle Mariners,AL,587,147,0.25
Teoscar Hernández,Seattle Mariners,AL,625,161,0.258
J.P. Crawford,Seattle Mariners,AL,534,142,0.266
Julio Rodríguez,Seattle Mariners,AL,654,180,0.275
David Villar,San Francisco Giants,NL,124,18,0.145
Brett Wisely,San Francisco Giants,NL,120,21,0.175
Brandon Crawford,San Francisco Giants,NL,283,55,0.194
Casey Schmitt,San Francisco Giants,NL,253,52,0.206
Mitch Haniger,San Francisco Giants,NL,211,44,0.209
Patrick Bailey,San Francisco Giants,NL,326,76,0.233
Mike Yastrzemski,San Francisco Giants,NL,330,77,0.233
Joc Pederson,San Francisco Giants,NL,358,84,0.235
Blake Sabol,San Francisco Giants,NL,310,73,0.235
Michael Conforto,San Francisco Giants,NL,406,97,0.239
Luis Matos,San Francisco Giants,NL,228,57,0.25
Austin Slater,San Francisco Giants,NL,185,50,0.27
Wilmer Flores,San Francisco Giants,NL,405,115,0.284
J.D. Davis,San Francisco Giants,NL,480,119,0.248
LaMonte Wade Jr.,San Francisco Giants,NL,429,110,0.256
Thairo Estrada,San Francisco Giants,NL,495,134,0.271
Masyn Winn,St. Louis Cardinals,NL,122,21,0.172
Dylan Carlson,St. Louis Cardinals,NL,219,48,0.219
Tyler O'Neill,St. Louis Cardinals,NL,238,55,0.231
Nolan Gorman,St. Louis Cardinals,NL,406,96,0.236
Andrew Knizner,St. Louis Cardinals,NL,224,54,0.241
Alec Burleson,St. Louis Cardinals,NL,315,77,0.244
Willson Contreras,St. Louis Cardinals,NL,428,113,0.264
Jordan Walker,St. Louis Cardinals,NL,420,116,0.276
Brendan Donovan,St. Louis Cardinals,NL,327,93,0.284
Tommy Edman,St. Louis Cardinals,NL,479,119,0.248
Lars Nootbaar,St. Louis Cardinals,NL,426,111,0.261
Nolan Arenado,St. Louis Cardinals,NL,560,149,0.266
Paul Goldschmidt,St. Louis Cardinals,NL,593,159,0.268
Taylor Walls,Tampa Bay Rays,AL,303,61,0.201
Jose Siri,Tampa Bay Rays,AL,338,75,0.222
