,Original_Mean,Cleaned_Mean,Original_Std,Cleaned_Std,Original_Median,Cleaned_Median,Mean_Change_%,Std_Change_%
PERIMETER,20.699163090592783,9.131361422727274,43.847761406611504,9.74009152438965,6.321396330000001,4.96366638,-55.88535931253552,-77.78657059805792
AREA,46.65591324493556,4.968503581645022,257.92633977128986,10.950020809631816,1.03720192,0.66565193,-89.35075269974627,-95.75459380405216
Shape_Leng,43431.84586076772,19025.496720575265,92818.59297053909,20648.366001331146,12880.142153912415,10312.235053706712,-56.19459329090793,-77.7540626931449
Shape_Area,200897246.51228046,21525867.709528565,1128022280.7082589,50607540.73809627,4348184.811006551,2727362.823502413,-89.28513551916068,-95.51360450909525
