,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,cv,1%,5%,95%,99%,range,iqr,missing_count,missing_percent
PERIMETER,776.0,20.699163090592783,43.847761406611504,0.20921927,2.2351777225,6.321396330000001,18.4773891325,489.09331858,4.98596436864066,32.981316105792416,2.1183349884585017,0.46258236500000005,0.8677306825,89.64732807,227.8279513725,488.88409931,16.24221141,0,0.0
AREA,776.0,46.65591324493556,257.92633977128986,0.00252842,0.186306375,1.03720192,7.77600384,4513.48391165,11.52319963205082,166.10667672316967,5.528266876209682,0.010601142499999999,0.03086597,155.81517442749998,1107.019096815,4513.48138323,7.5896974649999995,0,0.0
Shape_Leng,776.0,43431.84586076772,92818.59297053909,340.0538925291862,4620.498111871473,12880.142153912415,39580.98308865352,1017173.782289898,4.999537885734689,32.81153344569696,2.1371090988877994,962.9831297204081,1697.3150282122833,193920.53896636813,456917.1762082045,1016833.7283973688,34960.48497678205,0,0.0
Shape_Area,776.0,200897246.51228046,1128022280.7082589,6966.990350806802,734091.7018060345,4348184.811006551,31476742.770608507,18511550559.617744,11.091535095511672,147.2032144766878,5.614921559610848,43540.601017698864,123309.49835836093,604768169.5133568,4560999021.683573,18511543592.62739,30742651.068802472,0,0.0
