,PERIMETER,AREA,Shape_Leng,Shape_Area,PERIMETER_zscore,AREA_zscore,Shape_Leng_zscore,Shape_Area_zscore,PERIMETER_is_outlier,AREA_is_outlier,Shape_Leng_is_outlier,Shape_Area_is_outlier
2,332.13318926,3548.57016437,648984.1003717034,13150788697.079187,7.102620890526197,13.577187402536339,6.524040444171997,11.480173461144732,True,True,True,True
28,347.08012434,1742.55128279,676117.1606993474,6329991947.136539,7.443503403122296,6.575115093126432,6.816363991203744,5.433487268332983,True,True,True,True
88,156.94185586,900.7713739,345234.8880272833,4038737670.874469,3.107175563787485,3.311470481891967,3.2515364918568506,3.4022735986673047,True,True,True,True
109,267.52640853,1307.98611024,525746.7312553409,4841127730.369225,5.629186930445892,4.890272928749811,5.196317569128218,4.113598253523372,True,True,True,True
110,168.38341803,1180.20496212,343431.2867386705,4607056567.590049,3.3681139059732916,4.394855716869445,3.232105026340181,3.9060924561802484,True,True,True,True
111,152.4509978,228.24335083,323910.09567949723,967745616.7237558,3.0047562402932906,0.7040282808885779,3.0217895018916545,0.6798166874239303,True,False,True,False
162,186.65165961,1190.21534002,376644.2300682536,4545646506.381414,3.784742737046192,4.433666711934458,3.5899314301526695,3.8516519878855293,True,True,True,True
188,178.29976752,957.46719228,363239.2108930636,3790541154.9568286,3.594267971127112,3.5312844738645346,3.4455097281403924,3.182245572481684,True,True,True,True
189,160.74338152,342.69549145,310088.3282949721,1217315386.2243383,3.193873847532178,1.1477679188080234,2.8728778782376283,0.9010621129521241,True,False,False,False
230,213.55074251,51.6553432,475818.912286514,240999560.82922208,4.398208100774979,0.019383169471941342,4.65841005113046,0.035550994871982766,True,False,True,False
250,173.00820453,716.16304686,343531.124709854,2663060112.1868453,3.4735876257628417,2.5957299832531033,3.233180651039806,2.1827253838715226,True,False,True,False
322,149.04755414,826.15256661,302230.05330825894,3236464627.273709,2.9271366868470152,3.0221677012757397,2.7882151535052313,2.6910526792568907,False,True,False,False
344,283.58169793,228.79220565,661581.1916976046,1172455228.4922156,5.995346772703634,0.706156232692518,6.659757771086224,0.8612932551030079,True,False,True,False
411,235.02625837,703.11834606,450616.59751543467,2464772939.13827,4.887982610831537,2.545154687951479,4.386887784260085,2.0069423550787975,True,False,True,False
427,174.26717532,88.05265063,351176.79866180045,337741925.4638542,3.502299941958993,0.16049829351190742,3.3155528752597228,0.12131380850531795,True,False,True,False
459,166.54263054,1250.7702621,363921.2215735546,5551862346.53707,3.3261325725836595,4.668442741919203,3.4528575089961904,4.743669687681208,True,True,True,True
561,228.60596022,128.6658504,441557.15975244297,460264988.1633981,4.741560126671788,0.31795875220725744,4.289284087920202,0.22993139948287783,True,False,True,False
585,332.77351078,375.45963653,641870.1609280906,1332109717.7679174,7.117224179256541,1.2747969966022992,6.447396969885861,1.0028281272470745,True,False,True,False
623,162.28575468,1082.62380838,319774.4074167104,3953111553.10169,3.229049489583711,4.016526175859684,2.97723282277781,3.3263654191595236,True,True,False,True
653,211.70187097,1034.02242143,770708.8639042085,14438114406.31512,4.356042401074715,3.828094909037163,7.835466955142067,12.621397115368701,True,True,True,True
767,227.56861509,1640.94082567,449895.7533699126,6011062623.005178,4.717902245477344,6.181163637024273,4.379121623166146,5.150754090464269,True,True,True,True
775,489.09331858,4513.48391165,1017173.782289898,18511550559.617744,10.682282070135086,17.31823125302332,10.490806909109246,16.232528050428783,True,True,True,True
