Player,Team,League,BattingAvg,AtBats,Hits,Year
Albert Pujols,St. Louis Cardinals,National League,0.327,568,186,2009
Jose Altuve,Houston Astros,American League,0.311,360,112,2023
Cam Gallagher,Cleveland Guardians,American League,0.126,143,18,2023
Chris Taylor,Los Angeles Dodgers,National League,0.237,338,80,2023
Isiah Kiner-Falefa,New York Yankees,American League,0.242,326,79,2023
Eloy Jiménez,Chicago White Sox,American League,0.272,456,124,2023
J.D. Davis,San Francisco Giants,National League,0.248,480,119,2023
Andruw Monasterio,Milwaukee Brewers,National League,0.259,282,73,2023
Jack Suwinski,Pittsburgh Pirates,National League,0.224,447,100,2023
Jacob Young,Washington Nationals,National League,0.252,107,27,2023
Ezequiel Durán,Texas Rangers,American League,0.276,406,112,2023
Taylor Ward,Los Angeles Angels,American League,0.253,356,90,2023
Zach McKinstry,Detroit Tigers,American League,0.231,464,107,2023
Matt Duffy,Kansas City Royals,American League,0.251,191,48,2023
Luis Robert Jr.,Chicago White Sox,American League,0.264,546,144,2023
Endy Rodríguez,Pittsburgh Pirates,National League,0.22,186,41,2023
Gabriel Moreno,Arizona Diamondbacks,National League,0.284,341,97,2023
Alex Verdugo,Boston Red Sox,American League,0.264,546,144,2023
Nick Maton,Detroit Tigers,American League,0.173,249,43,2023
Corey Julks,Houston Astros,American League,0.245,298,73,2023
Esteury Ruiz,Oakland Athletics,American League,0.254,449,114,2023
Miguel Amaya,Chicago Cubs,National League,0.214,131,28,2023
Zach Neto,Los Angeles Angels,American League,0.225,289,65,2023
Cedric Mullins,Baltimore Orioles,American League,0.233,404,94,2023
Zach Remillard,Chicago White Sox,American League,0.252,147,37,2023
Gunnar Henderson,Baltimore Orioles,American League,0.255,560,143,2023
Josh Harrison,Philadelphia Phillies,National League,0.204,103,21,2023
Chas McCormick,Houston Astros,American League,0.273,403,110,2023
Michael Conforto,San Francisco Giants,National League,0.239,406,97,2023
Alex Bregman,Houston Astros,American League,0.262,622,163,2023
JJ Bleday,Oakland Athletics,American League,0.195,256,50,2023
